difference,edges
25,0.0
24,0.0
23,0.0
22,0.0
21,0.00032
20,0.00068
19,0.00184
18,0.00492
17,0.01092
16,0.02356
15,0.03832
14,0.05308
13,0.068
12,0.07464
11,0.07596
10,0.07668
9,0.07604
8,0.0824
7,0.08788
6,0.09596
5,0.08892
4,0.06944
3,0.04456
2,0.01832
1,0.00636
0,0.0012
