difference,edges
25,0.0
24,0.0
23,0.0
22,4.0e-5
21,0.00016
20,0.00052
19,0.0018
18,0.00612
17,0.01172
16,0.02312
15,0.0408
14,0.05324
13,0.06648
12,0.07276
11,0.07824
10,0.07348
9,0.07356
8,0.07736
7,0.0866
6,0.09568
5,0.08672
4,0.07276
3,0.04796
2,0.0232
1,0.00636
0,0.00132
