difference,edges
25,0.0
24,0.0
23,0.0
22,2.0e-5
21,0.00024
20,0.00084
19,0.00276
18,0.00826
17,0.01918
16,0.03478
15,0.05454
14,0.07806
13,0.09106
12,0.09144
11,0.08102
10,0.06002
9,0.03822
8,0.02276
7,0.01624
6,0.01794
5,0.03074
4,0.05294
3,0.07954
2,0.09772
1,0.08466
0,0.03702
