difference,edges
25,0.0
24,0.0
23,0.0
22,0.0
21,4.0e-5
20,0.0
19,8.0e-5
18,0.00012
17,0.00068
16,0.00228
15,0.00356
14,0.00876
13,0.01376
12,0.02068
11,0.03228
10,0.0404
9,0.0512
8,0.0702
7,0.09108
6,0.11768
5,0.1456
4,0.1536
3,0.13004
2,0.0804
1,0.03104
0,0.00652
