difference,edges
25,0.0
24,0.0
23,0.0
22,0.00012
21,0.0002
20,0.00048
19,0.00228
18,0.00588
17,0.01284
16,0.02364
15,0.03768
14,0.0532
13,0.06192
12,0.06544
11,0.05592
10,0.04204
9,0.02856
8,0.01736
7,0.011
6,0.00928
5,0.0092
4,0.00792
3,0.0058
2,0.00684
1,0.05356
0,0.48884
