difference,edges
25,0.0
24,0.0
23,0.0
22,0.0
21,0.0
20,0.0
19,8.0e-5
18,8.0e-5
17,0.0004
16,0.00152
15,0.00608
14,0.01364
13,0.0278
12,0.05548
11,0.09564
10,0.13512
9,0.15528
8,0.16464
7,0.147
6,0.10008
5,0.06008
4,0.02524
3,0.0094
2,0.00224
1,0.00016
0,4.0e-5
