difference,edges
25,0.0
24,0.0
23,0.0
22,0.0
21,0.0
20,0.0
19,0.0
18,0.0
17,0.0
16,0.0
15,0.0
14,8.0e-5
13,0.0002
12,0.00092
11,0.004
10,0.01072
9,0.03224
8,0.05776
7,0.1128
6,0.16232
5,0.1964
4,0.18896
3,0.13472
2,0.07044
1,0.02396
0,0.00448
